Clave,Descripción
27420774,27420774 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 17/04/2025 - 18/04/2025]  Duración:16 Hrs.
27420773,27420773 - MANEJO DE CUERDAS Y NUDOS.  [ 10/04/2025 - 11/04/2025]  Duración:16 Hrs.
27420772,27420772 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 19/04/2025 - 21/04/2025]  Duración:16 Hrs.
27420771,27420771 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 01/04/2025 - 02/04/2025]  Duración:16 Hrs.
27420770,27420770 - Inducción a la Seguridad e Higiene.  [ 30/04/2025 - 30/04/2025]  Duración:8 Hrs.
27420769,27420769 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 12/04/2025 - 14/04/2025]  Duración:16 Hrs.
27420768,27420768 - Cuerdas y nudos.  [ 24/04/2025 - 25/04/2025]  Duración:16 Hrs.
27420767,27420767 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 29/04/2025 - 30/04/2025]  Duración:16 Hrs.
27420766,27420766 - Inducción a la Seguridad e Higiene.  [ 07/04/2025 - 07/04/2025]  Duración:8 Hrs.
27420765,27420765 - Cuerdas y nudos.  [ 10/04/2025 - 11/04/2025]  Duración:16 Hrs.
27420764,27420764 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 29/04/2025 - 30/04/2025]  Duración:16 Hrs.
27420763,27420763 - MANEJO DE CUERDAS Y NUDOS.  [ 08/04/2025 - 09/04/2025]  Duración:16 Hrs.
27420762,27420762 - Inducción a la Seguridad e Higiene.  [ 23/04/2025 - 23/04/2025]  Duración:8 Hrs.
27420761,27420761 - Inducción a la Seguridad e Higiene.  [ 09/04/2025 - 09/04/2025]  Duración:8 Hrs.
27420760,27420760 - Inducción a la Seguridad e Higiene.  [ 14/04/2025 - 14/04/2025]  Duración:8 Hrs.
27420759,27420759 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 12/04/2025 - 14/04/2025]  Duración:16 Hrs.
27420758,27420758 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 26/04/2025 - 28/04/2025]  Duración:16 Hrs.
27420757,27420757 - Inducción a la Seguridad e Higiene.  [ 02/04/2025 - 02/04/2025]  Duración:8 Hrs.
27420756,27420756 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 10/04/2025 - 11/04/2025]  Duración:16 Hrs.
27420755,27420755 - MANEJO DE CUERDAS Y NUDOS.  [ 24/04/2025 - 25/04/2025]  Duración:16 Hrs.
27420754,27420754 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 15/04/2025 - 16/04/2025]  Duración:16 Hrs.
27420415,27420415 - Inducción Organizacional.  [ 07/04/2025 - 07/04/2025]  Duración:8 Hrs.
27420414,27420414 - Inducción Organizacional.  [ 23/04/2025 - 23/04/2025]  Duración:8 Hrs.
27420413,27420413 - Inducción Organizacional.  [ 30/04/2025 - 30/04/2025]  Duración:8 Hrs.
27420412,27420412 - Inducción Organizacional.  [ 14/04/2025 - 14/04/2025]  Duración:8 Hrs.
27420411,27420411 - Inducción Organizacional.  [ 09/04/2025 - 09/04/2025]  Duración:8 Hrs.
27272173,27272173 - MANEJO DE CUERDAS Y NUDOS.  [ 25/03/2025 - 26/03/2025]  Duración:16 Hrs.
27272172,27272172 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 24/03/2025 - 25/03/2025]  Duración:16 Hrs.
27272171,27272171 - MANEJO DE CUERDAS Y NUDOS.  [ 06/03/2025 - 07/03/2025]  Duración:16 Hrs.
27272170,27272170 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 21/03/2025 - 22/03/2025]  Duración:16 Hrs.
27272169,27272169 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 12/03/2025 - 13/03/2025]  Duración:16 Hrs.
27272168,27272168 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 11/03/2025 - 12/03/2025]  Duración:16 Hrs.
27272167,27272167 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 19/03/2025 - 20/03/2025]  Duración:16 Hrs.
27272166,27272166 - MANEJO DE CUERDAS Y NUDOS.  [ 27/03/2025 - 28/03/2025]  Duración:16 Hrs.
27272165,27272165 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 03/03/2025 - 04/03/2025]  Duración:16 Hrs.
27272164,27272164 - MANEJO DE CUERDAS Y NUDOS.  [ 19/03/2025 - 20/03/2025]  Duración:16 Hrs.
